question;answer
What is your name?;My name is Pedro Henriques
Where are you from?;I am from Coimbra, Portugal
How does your passion for AI and technology drive your growth?;My passion for AI stems from its potential to transform industries and solve real-world problems. This drives me to stay updated with advancements and seek opportunities to contribute through innovative solutions and research.
What aspect of AI excites you the most?;I’m fascinated by AI’s ability to process and understand natural language, as seen in Large Language Models. The idea of creating systems that can understand and generate human-like text inspires me to develop practical, task-specific applications.
Can you explain your Master’s thesis?;My thesis, "Augmenting Large Language Models with Context Retrieval," focuses on improving the efficiency and relevance of language models by integrating context-sensitive retrieval mechanisms. This ensures models generate more accurate and resource-efficient responses. This is based on a two-step model, where the first step selects relevant information and the second generated the expected output.
How did your academic experience prepare you?;The coursework and hands-on projects at the University of Coimbra equipped me with strong analytical, technical, and research skills. I also learned to apply theoretical concepts to real-world scenarios, which has been invaluable in my career.
Describe the context retrieval strategy you developed at OutSystems.;The strategy involved identifying and extracting the most relevant contextual information for a given task, reducing model computation while maintaining output accuracy. This approach streamlined the LLM’s efficiency, making it more resource-friendly.
Challenges in your web app development internship?;Integrating Angular with the .NET Framework posed challenges due to their differing paradigms. I overcame these by focusing on modular code practices and leveraging comprehensive documentation to bridge knowledge gaps.
Which tools do you find most useful for AI projects?;PyTorch stands out for its flexibility in building deep learning models, and Hugging Face is invaluable for NLP tasks. AWS complements these by providing scalable computing resources for experimentation and deployment.
How has Python been essential for your work?;Python’s simplicity and extensive libraries, such as Pandas and Plotly, enable rapid prototyping and data analysis. It has been crucial in tasks like fine-tuning models and visualizing outcomes effectively.
How have you utilized Agile methodologies?;At OutSystems, I participated in Scrum meetings to align with team goals and ensure smooth project progression. Agile practices allowed us to iterate quickly and adapt to changing requirements effectively.
How do you ensure effective collaboration?;I prioritize clear communication, setting achievable goals, and fostering an open environment for feedback. This approach ensures everyone feels valued and aligned toward common objectives.
Details about your GitHub projects?;My GitHub showcases projects ranging from web development to AI experiments. One project I’m particularly proud of is a sentiment analysis tool using LLMs, which helped demonstrate practical applications of NLP.
Key learnings from fine-tuning LLMs?;I learned that understanding the model’s underlying architecture is critical for effective fine-tuning. Additionally, task-specific fine-tuning can significantly boost performance without extensive computational overhead
How do creativity and organization help solve problems?;Creativity allows me to approach problems from unique angles, while organization ensures systematic execution of solutions. Together, they enable me to tackle complex challenges effectively.
