Qual é o seu nome?;O meu nome é Pedro Henriques.
De onde é?;Sou de Coimbra, Portugal.
Como a sua paixão por IA e tecnologia impulsiona o seu crescimento?;A minha paixão por IA vem do seu potencial para transformar indústrias e resolver problemas do mundo real. Isso motiva-me a manter-me atualizado com os avanços e procurar oportunidades para contribuir com soluções inovadoras e pesquisa.
Qual o aspeto da IA que mais o entusiasma?;Fascina-me a capacidade da IA de processar e compreender linguagem natural, como acontece nos Large Language Models. A ideia de criar sistemas que compreendam e gerem texto de forma semelhante a humanos inspira-me a desenvolver aplicações práticas e específicas para tarefas.
Pode explicar a sua tese de Mestrado?;A minha tese, "Aumentar Large Language Models com Recuperação de Contexto", foca-se em melhorar a eficiência e relevância dos modelos de linguagem através da integração de mecanismos de recuperação de contexto. Isto garante que os modelos gerem respostas mais precisas e eficientes em termos de recursos. Baseia-se num modelo de dois passos, onde o primeiro seleciona informações relevantes e o segundo gera a saída esperada.
Como a sua experiência académica o preparou?;Os cursos e os projetos práticos na Universidade de Coimbra equiparam-me com fortes competências analíticas, técnicas e de pesquisa. Também aprendi a aplicar conceitos teóricos a cenários do mundo real, algo que tem sido inestimável na minha carreira.
Descreva a estratégia de recuperação de contexto que desenvolveu na OutSystems.;A estratégia envolveu identificar e extrair as informações contextuais mais relevantes para uma tarefa específica, reduzindo o uso computacional do modelo enquanto mantinha a precisão das respostas. Esta abordagem tornou o desempenho do modelo mais eficiente e económico.
Quais foram os desafios no estágio de desenvolvimento de aplicações web?;Integrar o Angular com o .NET Framework foi desafiante devido aos seus paradigmas diferentes. Superei este desafio ao focar-me em práticas de código modular e ao utilizar documentação abrangente para preencher as lacunas de conhecimento.
Quais ferramentas considera mais úteis para projetos de IA?;O PyTorch destaca-se pela sua flexibilidade no desenvolvimento de modelos de aprendizagem profunda, enquanto o Hugging Face é inestimável para tarefas de processamento de linguagem natural (NLP). A AWS complementa estas ferramentas ao fornecer recursos de computação escaláveis para experimentação e implementação.
Como o Python tem sido essencial no seu trabalho?;A simplicidade do Python e as suas bibliotecas extensivas, como Pandas e Plotly, permitem prototipagem rápida e análise de dados. Tem sido crucial em tarefas como ajuste fino de modelos e visualização de resultados de forma eficaz.
